VulnerabilityID,Severity,PkgName,InstalledVersion,Title,Description,CVSS,Status,Target,PrimaryURL
CVE-2011-3374,LOW,apt,2.6.1,"It was found that apt-key in apt, all versions, do not correctly valid ...","It was found that apt-key in apt, all versions, do not correctly validate gpg keys with the master keyring, leading to a potential man-in-the-middle a...",3.7,affected,python:3.9-slim (debian 12.9),https://avd.aquasec.com/nvd/cve-2011-3374
TEMP-0841856-B18BAF,LOW,bash,5.2.15-2+b7,[Privilege escalation possible to other user than root],,,affected,python:3.9-slim (debian 12.9),https://security-tracker.debian.org/tracker/TEMP-0841856-B18BAF
CVE-2022-0563,LOW,bsdutils,1:2.38.1-5+deb12u3,util-linux: partial disclosure of arbitrary files in chfn and chsh when compiled with libreadline,"A flaw was found in the util-linux chfn and chsh utilities when compiled with Readline support. The Readline library uses an ""INPUTRC"" environment var...",5.5,affected,python:3.9-slim (debian 12.9),https://avd.aquasec.com/nvd/cve-2022-0563
CVE-2016-2781,LOW,coreutils,9.1-1,coreutils: Non-privileged session can escape to the parent session in chroot,"chroot in GNU coreutils, when used with --userspec, allows local users to escape to the parent session via a crafted TIOCSTI ioctl call, which pushes ...",6.5,will_not_fix,python:3.9-slim (debian 12.9),https://avd.aquasec.com/nvd/cve-2016-2781
CVE-2017-18018,LOW,coreutils,9.1-1,coreutils: race condition vulnerability in chown and chgrp,"In GNU Coreutils through 8.29, chown-core.c in chown and chgrp does not prevent replacement of a plain file with a symlink during use of the POSIX ""-R...",4.7,affected,python:3.9-slim (debian 12.9),https://avd.aquasec.com/nvd/cve-2017-18018
CVE-2022-27943,LOW,gcc-12-base,12.2.0-14,binutils: libiberty/rust-demangle.c in GNU GCC 11.2 allows stack exhaustion in demangle_const,"libiberty/rust-demangle.c in GNU GCC 11.2 allows stack consumption in demangle_const, as demonstrated by nm-new.",5.5,affected,python:3.9-slim (debian 12.9),https://avd.aquasec.com/nvd/cve-2022-27943
CVE-2023-4039,LOW,gcc-12-base,12.2.0-14,gcc: -fstack-protector fails to guard dynamic stack allocations on ARM64,"**DISPUTED**A failure in the -fstack-protector feature in GCC-based toolchains 
that target AArch64 allows an attacker to exploit an existing buffer 
...",4.8,affected,python:3.9-slim (debian 12.9),https://avd.aquasec.com/nvd/cve-2023-4039
CVE-2022-3219,LOW,gpgv,2.2.40-1.1,gnupg: denial of service issue (resource consumption) using compressed packets,"GnuPG can be made to spin on a relatively small input by (for example) crafting a public key with thousands of signatures attached, compressed down to...",3.3,affected,python:3.9-slim (debian 12.9),https://avd.aquasec.com/nvd/cve-2022-3219
CVE-2011-3374,LOW,libapt-pkg6.0,2.6.1,"It was found that apt-key in apt, all versions, do not correctly valid ...","It was found that apt-key in apt, all versions, do not correctly validate gpg keys with the master keyring, leading to a potential man-in-the-middle a...",3.7,affected,python:3.9-slim (debian 12.9),https://avd.aquasec.com/nvd/cve-2011-3374
CVE-2022-0563,LOW,libblkid1,2.38.1-5+deb12u3,util-linux: partial disclosure of arbitrary files in chfn and chsh when compiled with libreadline,"A flaw was found in the util-linux chfn and chsh utilities when compiled with Readline support. The Readline library uses an ""INPUTRC"" environment var...",5.5,affected,python:3.9-slim (debian 12.9),https://avd.aquasec.com/nvd/cve-2022-0563
CVE-2010-4756,LOW,libc-bin,2.36-9+deb12u9,glibc: glob implementation can cause excessive CPU and memory consumption due to crafted glob expressions,The glob implementation in the GNU C Library (aka glibc or libc6) allows remote authenticated users to cause a denial of service (CPU and memory consu...,,affected,python:3.9-slim (debian 12.9),https://avd.aquasec.com/nvd/cve-2010-4756
CVE-2018-20796,LOW,libc-bin,2.36-9+deb12u9,glibc: uncontrolled recursion in function check_dst_limits_calc_pos_1 in posix/regexec.c,"In the GNU C Library (aka glibc or libc6) through 2.29, check_dst_limits_calc_pos_1 in posix/regexec.c has Uncontrolled Recursion, as demonstrated by ...",7.5,affected,python:3.9-slim (debian 12.9),https://avd.aquasec.com/nvd/cve-2018-20796
CVE-2019-1010022,LOW,libc-bin,2.36-9+deb12u9,glibc: stack guard protection bypass,GNU Libc current is affected by: Mitigation bypass. The impact is: Attacker may bypass stack guard protection. The component is: nptl. The attack vect...,9.8,affected,python:3.9-slim (debian 12.9),https://avd.aquasec.com/nvd/cve-2019-1010022
CVE-2019-1010023,LOW,libc-bin,2.36-9+deb12u9,glibc: running ldd on malicious ELF leads to code execution because of wrong size computation,GNU Libc current is affected by: Re-mapping current loaded library with malicious ELF file. The impact is: In worst case attacker may evaluate privile...,8.8,affected,python:3.9-slim (debian 12.9),https://avd.aquasec.com/nvd/cve-2019-1010023
CVE-2019-1010024,LOW,libc-bin,2.36-9+deb12u9,glibc: ASLR bypass using cache of thread stack and heap,GNU Libc current is affected by: Mitigation bypass. The impact is: Attacker may bypass ASLR using cache of thread stack and heap. The component is: gl...,5.3,affected,python:3.9-slim (debian 12.9),https://avd.aquasec.com/nvd/cve-2019-1010024
CVE-2019-1010025,LOW,libc-bin,2.36-9+deb12u9,glibc: information disclosure of heap addresses of pthread_created thread,GNU Libc current is affected by: Mitigation bypass. The impact is: Attacker may guess the heap addresses of pthread_created thread. The component is: ...,5.3,affected,python:3.9-slim (debian 12.9),https://avd.aquasec.com/nvd/cve-2019-1010025
CVE-2019-9192,LOW,libc-bin,2.36-9+deb12u9,glibc: uncontrolled recursion in function check_dst_limits_calc_pos_1 in posix/regexec.c,"In the GNU C Library (aka glibc or libc6) through 2.29, check_dst_limits_calc_pos_1 in posix/regexec.c has Uncontrolled Recursion, as demonstrated by ...",7.5,affected,python:3.9-slim (debian 12.9),https://avd.aquasec.com/nvd/cve-2019-9192
CVE-2010-4756,LOW,libc6,2.36-9+deb12u9,glibc: glob implementation can cause excessive CPU and memory consumption due to crafted glob expressions,The glob implementation in the GNU C Library (aka glibc or libc6) allows remote authenticated users to cause a denial of service (CPU and memory consu...,,affected,python:3.9-slim (debian 12.9),https://avd.aquasec.com/nvd/cve-2010-4756
CVE-2018-20796,LOW,libc6,2.36-9+deb12u9,glibc: uncontrolled recursion in function check_dst_limits_calc_pos_1 in posix/regexec.c,"In the GNU C Library (aka glibc or libc6) through 2.29, check_dst_limits_calc_pos_1 in posix/regexec.c has Uncontrolled Recursion, as demonstrated by ...",7.5,affected,python:3.9-slim (debian 12.9),https://avd.aquasec.com/nvd/cve-2018-20796
CVE-2019-1010022,LOW,libc6,2.36-9+deb12u9,glibc: stack guard protection bypass,GNU Libc current is affected by: Mitigation bypass. The impact is: Attacker may bypass stack guard protection. The component is: nptl. The attack vect...,9.8,affected,python:3.9-slim (debian 12.9),https://avd.aquasec.com/nvd/cve-2019-1010022
CVE-2019-1010023,LOW,libc6,2.36-9+deb12u9,glibc: running ldd on malicious ELF leads to code execution because of wrong size computation,GNU Libc current is affected by: Re-mapping current loaded library with malicious ELF file. The impact is: In worst case attacker may evaluate privile...,8.8,affected,python:3.9-slim (debian 12.9),https://avd.aquasec.com/nvd/cve-2019-1010023
CVE-2019-1010024,LOW,libc6,2.36-9+deb12u9,glibc: ASLR bypass using cache of thread stack and heap,GNU Libc current is affected by: Mitigation bypass. The impact is: Attacker may bypass ASLR using cache of thread stack and heap. The component is: gl...,5.3,affected,python:3.9-slim (debian 12.9),https://avd.aquasec.com/nvd/cve-2019-1010024
CVE-2019-1010025,LOW,libc6,2.36-9+deb12u9,glibc: information disclosure of heap addresses of pthread_created thread,GNU Libc current is affected by: Mitigation bypass. The impact is: Attacker may guess the heap addresses of pthread_created thread. The component is: ...,5.3,affected,python:3.9-slim (debian 12.9),https://avd.aquasec.com/nvd/cve-2019-1010025
CVE-2019-9192,LOW,libc6,2.36-9+deb12u9,glibc: uncontrolled recursion in function check_dst_limits_calc_pos_1 in posix/regexec.c,"In the GNU C Library (aka glibc or libc6) through 2.29, check_dst_limits_calc_pos_1 in posix/regexec.c has Uncontrolled Recursion, as demonstrated by ...",7.5,affected,python:3.9-slim (debian 12.9),https://avd.aquasec.com/nvd/cve-2019-9192
CVE-2022-27943,LOW,libgcc-s1,12.2.0-14,binutils: libiberty/rust-demangle.c in GNU GCC 11.2 allows stack exhaustion in demangle_const,"libiberty/rust-demangle.c in GNU GCC 11.2 allows stack consumption in demangle_const, as demonstrated by nm-new.",5.5,affected,python:3.9-slim (debian 12.9),https://avd.aquasec.com/nvd/cve-2022-27943
CVE-2023-4039,LOW,libgcc-s1,12.2.0-14,gcc: -fstack-protector fails to guard dynamic stack allocations on ARM64,"**DISPUTED**A failure in the -fstack-protector feature in GCC-based toolchains 
that target AArch64 allows an attacker to exploit an existing buffer 
...",4.8,affected,python:3.9-slim (debian 12.9),https://avd.aquasec.com/nvd/cve-2023-4039
CVE-2018-6829,LOW,libgcrypt20,1.10.1-3,libgcrypt: ElGamal implementation doesn't have semantic security due to incorrectly encoded plaintexts possibly allowing to obtain sensitive information,"cipher/elgamal.c in Libgcrypt through 1.8.2, when used to encrypt messages directly, improperly encodes plaintexts, which allows attackers to obtain s...",7.5,affected,python:3.9-slim (debian 12.9),https://avd.aquasec.com/nvd/cve-2018-6829
CVE-2011-3389,LOW,libgnutls30,3.7.9-2+deb12u3,HTTPS: block-wise chosen-plaintext attack against SSL/TLS (BEAST),"The SSL protocol, as used in certain configurations in Microsoft Windows and Microsoft Internet Explorer, Mozilla Firefox, Google Chrome, Opera, and o...",,affected,python:3.9-slim (debian 12.9),https://avd.aquasec.com/nvd/cve-2011-3389
CVE-2018-5709,LOW,libgssapi-krb5-2,1.20.1-2+deb12u2,krb5: integer overflow in dbentry->n_key_data in kadmin/dbutil/dump.c,"An issue was discovered in MIT Kerberos 5 (aka krb5) through 1.16. There is a variable ""dbentry->n_key_data"" in kadmin/dbutil/dump.c that can store 16...",7.5,affected,python:3.9-slim (debian 12.9),https://avd.aquasec.com/nvd/cve-2018-5709
CVE-2024-26458,LOW,libgssapi-krb5-2,1.20.1-2+deb12u2,krb5: Memory leak at /krb5/src/lib/rpc/pmap_rmt.c,Kerberos 5 (aka krb5) 1.21.2 contains a memory leak in /krb5/src/lib/rpc/pmap_rmt.c.,,affected,python:3.9-slim (debian 12.9),https://avd.aquasec.com/nvd/cve-2024-26458
CVE-2024-26461,LOW,libgssapi-krb5-2,1.20.1-2+deb12u2,krb5: Memory leak at /krb5/src/lib/gssapi/krb5/k5sealv3.c,Kerberos 5 (aka krb5) 1.21.2 contains a memory leak vulnerability in /krb5/src/lib/gssapi/krb5/k5sealv3.c.,,affected,python:3.9-slim (debian 12.9),https://avd.aquasec.com/nvd/cve-2024-26461
CVE-2018-5709,LOW,libk5crypto3,1.20.1-2+deb12u2,krb5: integer overflow in dbentry->n_key_data in kadmin/dbutil/dump.c,"An issue was discovered in MIT Kerberos 5 (aka krb5) through 1.16. There is a variable ""dbentry->n_key_data"" in kadmin/dbutil/dump.c that can store 16...",7.5,affected,python:3.9-slim (debian 12.9),https://avd.aquasec.com/nvd/cve-2018-5709
CVE-2024-26458,LOW,libk5crypto3,1.20.1-2+deb12u2,krb5: Memory leak at /krb5/src/lib/rpc/pmap_rmt.c,Kerberos 5 (aka krb5) 1.21.2 contains a memory leak in /krb5/src/lib/rpc/pmap_rmt.c.,,affected,python:3.9-slim (debian 12.9),https://avd.aquasec.com/nvd/cve-2024-26458
CVE-2024-26461,LOW,libk5crypto3,1.20.1-2+deb12u2,krb5: Memory leak at /krb5/src/lib/gssapi/krb5/k5sealv3.c,Kerberos 5 (aka krb5) 1.21.2 contains a memory leak vulnerability in /krb5/src/lib/gssapi/krb5/k5sealv3.c.,,affected,python:3.9-slim (debian 12.9),https://avd.aquasec.com/nvd/cve-2024-26461
CVE-2018-5709,LOW,libkrb5-3,1.20.1-2+deb12u2,krb5: integer overflow in dbentry->n_key_data in kadmin/dbutil/dump.c,"An issue was discovered in MIT Kerberos 5 (aka krb5) through 1.16. There is a variable ""dbentry->n_key_data"" in kadmin/dbutil/dump.c that can store 16...",7.5,affected,python:3.9-slim (debian 12.9),https://avd.aquasec.com/nvd/cve-2018-5709
CVE-2024-26458,LOW,libkrb5-3,1.20.1-2+deb12u2,krb5: Memory leak at /krb5/src/lib/rpc/pmap_rmt.c,Kerberos 5 (aka krb5) 1.21.2 contains a memory leak in /krb5/src/lib/rpc/pmap_rmt.c.,,affected,python:3.9-slim (debian 12.9),https://avd.aquasec.com/nvd/cve-2024-26458
CVE-2024-26461,LOW,libkrb5-3,1.20.1-2+deb12u2,krb5: Memory leak at /krb5/src/lib/gssapi/krb5/k5sealv3.c,Kerberos 5 (aka krb5) 1.21.2 contains a memory leak vulnerability in /krb5/src/lib/gssapi/krb5/k5sealv3.c.,,affected,python:3.9-slim (debian 12.9),https://avd.aquasec.com/nvd/cve-2024-26461
CVE-2018-5709,LOW,libkrb5support0,1.20.1-2+deb12u2,krb5: integer overflow in dbentry->n_key_data in kadmin/dbutil/dump.c,"An issue was discovered in MIT Kerberos 5 (aka krb5) through 1.16. There is a variable ""dbentry->n_key_data"" in kadmin/dbutil/dump.c that can store 16...",7.5,affected,python:3.9-slim (debian 12.9),https://avd.aquasec.com/nvd/cve-2018-5709
CVE-2024-26458,LOW,libkrb5support0,1.20.1-2+deb12u2,krb5: Memory leak at /krb5/src/lib/rpc/pmap_rmt.c,Kerberos 5 (aka krb5) 1.21.2 contains a memory leak in /krb5/src/lib/rpc/pmap_rmt.c.,,affected,python:3.9-slim (debian 12.9),https://avd.aquasec.com/nvd/cve-2024-26458
CVE-2024-26461,LOW,libkrb5support0,1.20.1-2+deb12u2,krb5: Memory leak at /krb5/src/lib/gssapi/krb5/k5sealv3.c,Kerberos 5 (aka krb5) 1.21.2 contains a memory leak vulnerability in /krb5/src/lib/gssapi/krb5/k5sealv3.c.,,affected,python:3.9-slim (debian 12.9),https://avd.aquasec.com/nvd/cve-2024-26461
CVE-2022-0563,LOW,libmount1,2.38.1-5+deb12u3,util-linux: partial disclosure of arbitrary files in chfn and chsh when compiled with libreadline,"A flaw was found in the util-linux chfn and chsh utilities when compiled with Readline support. The Readline library uses an ""INPUTRC"" environment var...",5.5,affected,python:3.9-slim (debian 12.9),https://avd.aquasec.com/nvd/cve-2022-0563
CVE-2022-0563,LOW,libsmartcols1,2.38.1-5+deb12u3,util-linux: partial disclosure of arbitrary files in chfn and chsh when compiled with libreadline,"A flaw was found in the util-linux chfn and chsh utilities when compiled with Readline support. The Readline library uses an ""INPUTRC"" environment var...",5.5,affected,python:3.9-slim (debian 12.9),https://avd.aquasec.com/nvd/cve-2022-0563
CVE-2021-45346,LOW,libsqlite3-0,3.40.1-2+deb12u1,sqlite: crafted SQL query allows a malicious user to obtain sensitive information,A Memory Leak vulnerability exists in SQLite Project SQLite3 3.35.1 and 3.37.0 via maliciously crafted SQL Queries (made via editing the Database File...,4.3,affected,python:3.9-slim (debian 12.9),https://avd.aquasec.com/nvd/cve-2021-45346
CVE-2022-27943,LOW,libstdc++6,12.2.0-14,binutils: libiberty/rust-demangle.c in GNU GCC 11.2 allows stack exhaustion in demangle_const,"libiberty/rust-demangle.c in GNU GCC 11.2 allows stack consumption in demangle_const, as demonstrated by nm-new.",5.5,affected,python:3.9-slim (debian 12.9),https://avd.aquasec.com/nvd/cve-2022-27943
CVE-2023-4039,LOW,libstdc++6,12.2.0-14,gcc: -fstack-protector fails to guard dynamic stack allocations on ARM64,"**DISPUTED**A failure in the -fstack-protector feature in GCC-based toolchains 
that target AArch64 allows an attacker to exploit an existing buffer 
...",4.8,affected,python:3.9-slim (debian 12.9),https://avd.aquasec.com/nvd/cve-2023-4039
CVE-2013-4392,LOW,libsystemd0,252.33-1~deb12u1,systemd: TOCTOU race condition when updating file permissions and SELinux security contexts,"systemd, when updating file permissions, allows local users to change the permissions and SELinux security contexts for arbitrary files via a symlink ...",,affected,python:3.9-slim (debian 12.9),https://avd.aquasec.com/nvd/cve-2013-4392
CVE-2023-31437,LOW,libsystemd0,252.33-1~deb12u1,An issue was discovered in systemd 253. An attacker can modify a seale ...,"An issue was discovered in systemd 253. An attacker can modify a sealed log file such that, in some views, not all existing and sealed log messages ar...",5.3,affected,python:3.9-slim (debian 12.9),https://avd.aquasec.com/nvd/cve-2023-31437
CVE-2023-31438,LOW,libsystemd0,252.33-1~deb12u1,An issue was discovered in systemd 253. An attacker can truncate a sea ...,An issue was discovered in systemd 253. An attacker can truncate a sealed log file and then resume log sealing such that checking the integrity shows ...,5.3,affected,python:3.9-slim (debian 12.9),https://avd.aquasec.com/nvd/cve-2023-31438
CVE-2023-31439,LOW,libsystemd0,252.33-1~deb12u1,An issue was discovered in systemd 253. An attacker can modify the con ...,An issue was discovered in systemd 253. An attacker can modify the contents of past events in a sealed log file and then adjust the file such that che...,5.3,affected,python:3.9-slim (debian 12.9),https://avd.aquasec.com/nvd/cve-2023-31439
CVE-2013-4392,LOW,libudev1,252.33-1~deb12u1,systemd: TOCTOU race condition when updating file permissions and SELinux security contexts,"systemd, when updating file permissions, allows local users to change the permissions and SELinux security contexts for arbitrary files via a symlink ...",,affected,python:3.9-slim (debian 12.9),https://avd.aquasec.com/nvd/cve-2013-4392
CVE-2023-31437,LOW,libudev1,252.33-1~deb12u1,An issue was discovered in systemd 253. An attacker can modify a seale ...,"An issue was discovered in systemd 253. An attacker can modify a sealed log file such that, in some views, not all existing and sealed log messages ar...",5.3,affected,python:3.9-slim (debian 12.9),https://avd.aquasec.com/nvd/cve-2023-31437
CVE-2023-31438,LOW,libudev1,252.33-1~deb12u1,An issue was discovered in systemd 253. An attacker can truncate a sea ...,An issue was discovered in systemd 253. An attacker can truncate a sealed log file and then resume log sealing such that checking the integrity shows ...,5.3,affected,python:3.9-slim (debian 12.9),https://avd.aquasec.com/nvd/cve-2023-31438
CVE-2023-31439,LOW,libudev1,252.33-1~deb12u1,An issue was discovered in systemd 253. An attacker can modify the con ...,An issue was discovered in systemd 253. An attacker can modify the contents of past events in a sealed log file and then adjust the file such that che...,5.3,affected,python:3.9-slim (debian 12.9),https://avd.aquasec.com/nvd/cve-2023-31439
CVE-2022-0563,LOW,libuuid1,2.38.1-5+deb12u3,util-linux: partial disclosure of arbitrary files in chfn and chsh when compiled with libreadline,"A flaw was found in the util-linux chfn and chsh utilities when compiled with Readline support. The Readline library uses an ""INPUTRC"" environment var...",5.5,affected,python:3.9-slim (debian 12.9),https://avd.aquasec.com/nvd/cve-2022-0563
CVE-2007-5686,LOW,login,1:4.13+dfsg1-1+b1,initscripts in rPath Linux 1 sets insecure permissions for the /var/lo ...,"initscripts in rPath Linux 1 sets insecure permissions for the /var/log/btmp file, which allows local users to obtain sensitive information regarding ...",,affected,python:3.9-slim (debian 12.9),https://avd.aquasec.com/nvd/cve-2007-5686
CVE-2023-29383,LOW,login,1:4.13+dfsg1-1+b1,shadow: Improper input validation in shadow-utils package utility chfn,"In Shadow 4.13, it is possible to inject control characters into fields provided to the SUID program chfn (change finger). Although it is not possible...",3.3,affected,python:3.9-slim (debian 12.9),https://avd.aquasec.com/nvd/cve-2023-29383
CVE-2024-56433,LOW,login,1:4.13+dfsg1-1+b1,shadow-utils: Default subordinate ID configuration in /etc/login.defs could lead to compromise,"shadow-utils (aka shadow) 4.4 through 4.17.0 establishes a default /etc/subuid behavior (e.g., uid 100000 through 165535 for the first user account) t...",,affected,python:3.9-slim (debian 12.9),https://avd.aquasec.com/nvd/cve-2024-56433
TEMP-0628843-DBAD28,LOW,login,1:4.13+dfsg1-1+b1,[more related to CVE-2005-4890],,,affected,python:3.9-slim (debian 12.9),https://security-tracker.debian.org/tracker/TEMP-0628843-DBAD28
CVE-2022-0563,LOW,mount,2.38.1-5+deb12u3,util-linux: partial disclosure of arbitrary files in chfn and chsh when compiled with libreadline,"A flaw was found in the util-linux chfn and chsh utilities when compiled with Readline support. The Readline library uses an ""INPUTRC"" environment var...",5.5,affected,python:3.9-slim (debian 12.9),https://avd.aquasec.com/nvd/cve-2022-0563
CVE-2007-5686,LOW,passwd,1:4.13+dfsg1-1+b1,initscripts in rPath Linux 1 sets insecure permissions for the /var/lo ...,"initscripts in rPath Linux 1 sets insecure permissions for the /var/log/btmp file, which allows local users to obtain sensitive information regarding ...",,affected,python:3.9-slim (debian 12.9),https://avd.aquasec.com/nvd/cve-2007-5686
CVE-2023-29383,LOW,passwd,1:4.13+dfsg1-1+b1,shadow: Improper input validation in shadow-utils package utility chfn,"In Shadow 4.13, it is possible to inject control characters into fields provided to the SUID program chfn (change finger). Although it is not possible...",3.3,affected,python:3.9-slim (debian 12.9),https://avd.aquasec.com/nvd/cve-2023-29383
CVE-2024-56433,LOW,passwd,1:4.13+dfsg1-1+b1,shadow-utils: Default subordinate ID configuration in /etc/login.defs could lead to compromise,"shadow-utils (aka shadow) 4.4 through 4.17.0 establishes a default /etc/subuid behavior (e.g., uid 100000 through 165535 for the first user account) t...",,affected,python:3.9-slim (debian 12.9),https://avd.aquasec.com/nvd/cve-2024-56433
TEMP-0628843-DBAD28,LOW,passwd,1:4.13+dfsg1-1+b1,[more related to CVE-2005-4890],,,affected,python:3.9-slim (debian 12.9),https://security-tracker.debian.org/tracker/TEMP-0628843-DBAD28
CVE-2023-31484,HIGH,perl-base,5.36.0-7+deb12u1,perl: CPAN.pm does not verify TLS certificates when downloading distributions over HTTPS,CPAN.pm before 2.35 does not verify TLS certificates when downloading distributions over HTTPS.,8.1,affected,python:3.9-slim (debian 12.9),https://avd.aquasec.com/nvd/cve-2023-31484
CVE-2011-4116,LOW,perl-base,5.36.0-7+deb12u1,perl: File:: Temp insecure temporary file handling,_is_safe in the File::Temp module for Perl does not properly handle symlinks.,7.5,affected,python:3.9-slim (debian 12.9),https://avd.aquasec.com/nvd/cve-2011-4116
CVE-2023-31486,LOW,perl-base,5.36.0-7+deb12u1,http-tiny: insecure TLS cert default,"HTTP::Tiny before 0.083, a Perl core module since 5.13.9 and available standalone on CPAN, has an insecure default TLS configuration where users must ...",8.1,affected,python:3.9-slim (debian 12.9),https://avd.aquasec.com/nvd/cve-2023-31486
TEMP-0517018-A83CE6,LOW,sysvinit-utils,3.06-4,[sysvinit: no-root option in expert installer exposes locally exploitable security flaw],,,affected,python:3.9-slim (debian 12.9),https://security-tracker.debian.org/tracker/TEMP-0517018-A83CE6
CVE-2005-2541,LOW,tar,1.34+dfsg-1.2+deb12u1,tar: does not properly warn the user when extracting setuid or setgid files,"Tar 1.15.1 does not properly warn the user when extracting setuid or setgid files, which may allow local users or remote attackers to gain privileges.",,affected,python:3.9-slim (debian 12.9),https://avd.aquasec.com/nvd/cve-2005-2541
TEMP-0290435-0B57B5,LOW,tar,1.34+dfsg-1.2+deb12u1,[tar's rmt command may have undesired side effects],,,affected,python:3.9-slim (debian 12.9),https://security-tracker.debian.org/tracker/TEMP-0290435-0B57B5
CVE-2022-0563,LOW,util-linux,2.38.1-5+deb12u3,util-linux: partial disclosure of arbitrary files in chfn and chsh when compiled with libreadline,"A flaw was found in the util-linux chfn and chsh utilities when compiled with Readline support. The Readline library uses an ""INPUTRC"" environment var...",5.5,affected,python:3.9-slim (debian 12.9),https://avd.aquasec.com/nvd/cve-2022-0563
CVE-2022-0563,LOW,util-linux-extra,2.38.1-5+deb12u3,util-linux: partial disclosure of arbitrary files in chfn and chsh when compiled with libreadline,"A flaw was found in the util-linux chfn and chsh utilities when compiled with Readline support. The Readline library uses an ""INPUTRC"" environment var...",5.5,affected,python:3.9-slim (debian 12.9),https://avd.aquasec.com/nvd/cve-2022-0563
CVE-2023-45853,CRITICAL,zlib1g,1:1.2.13.dfsg-1,zlib: integer overflow and resultant heap-based buffer overflow in zipOpenNewFileInZip4_6,"MiniZip in zlib through 1.3 has an integer overflow and resultant heap-based buffer overflow in zipOpenNewFileInZip4_64 via a long filename, comment, ...",9.8,will_not_fix,python:3.9-slim (debian 12.9),https://avd.aquasec.com/nvd/cve-2023-45853
CVE-2022-40897,HIGH,setuptools,58.1.0,pypa-setuptools: Regular Expression Denial of Service (ReDoS) in package_index.py,Python Packaging Authority (PyPA) setuptools before 65.5.1 allows remote attackers to cause a denial of service via HTML in a crafted package or custo...,5.9,fixed,Python,https://avd.aquasec.com/nvd/cve-2022-40897
CVE-2024-6345,HIGH,setuptools,58.1.0,pypa/setuptools: Remote code execution via download functions in the package_index module in pypa/setuptools,A vulnerability in the package_index module of pypa/setuptools versions up to 69.1.1 allows for remote code execution via its download functions. Thes...,,fixed,Python,https://avd.aquasec.com/nvd/cve-2024-6345
